,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
373,Gazanjyk,TM,39.2446,55.5154,59.74,50,2,5.17,clear sky
374,Coquimbo,CL,-29.9533,-71.3436,62.33,67,0,6.91,clear sky
375,Cairns,AU,-16.9167,145.7667,79.07,91,100,12.66,light intensity shower rain
376,Chapais,CA,49.7834,-74.8492,65.98,63,98,6.17,overcast clouds
377,Deputatskiy,RU,69.3,139.9,13.28,80,97,7.16,overcast clouds
378,Dondo,MZ,-19.6094,34.7431,71.11,91,0,3.38,clear sky
379,Toba,JP,34.4833,136.85,57.2,92,100,1.01,overcast clouds
380,Ludvika,SE,60.1496,15.1878,51.6,61,77,10.49,broken clouds
381,Basco,PH,20.4487,121.9702,83.01,72,25,15.61,scattered clouds
382,Hami,CN,42.8,93.45,59.79,14,0,16.31,clear sky
383,Gizo,SB,-8.103,156.8419,84.18,74,94,7.56,light rain
384,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,82,1,3.98,clear sky
385,Kruisfontein,ZA,-34.0033,24.7314,54.5,72,46,4.56,scattered clouds
386,Fallon,US,39.4735,-118.7774,49.87,30,75,5.75,broken clouds
387,Amuntai,ID,-2.4177,115.2494,73.06,97,100,2.21,light rain
388,Meulaboh,ID,4.1363,96.1285,77.47,89,98,4.68,overcast clouds
389,Faya,SA,18.3851,42.4509,68.52,47,41,0.49,scattered clouds
390,Mizdah,LY,31.4451,12.9801,61.47,60,57,5.26,broken clouds
391,Zhigansk,RU,66.7697,123.3711,17.51,87,13,8.79,few clouds
392,Palana,RU,59.1167,159.9667,37.35,81,100,12.86,overcast clouds
393,Vryburg,ZA,-26.9566,24.7284,52.7,48,0,4.68,clear sky
394,Lons-Le-Saunier,FR,46.75,5.75,53.19,92,0,4.25,clear sky
395,Provost,CA,52.3501,-110.2683,61.25,36,76,11.5,broken clouds
396,Esperance,AU,-33.8667,121.9,55.24,43,58,15.86,broken clouds
397,Merauke,ID,-8.4667,140.3333,80.87,89,87,8.61,light rain
398,Artesia,US,33.8658,-118.0831,73.87,50,0,13.8,clear sky
399,Padang,ID,-0.9492,100.3543,79.09,84,94,3.42,overcast clouds
400,Bundaberg,AU,-24.85,152.35,69.22,99,75,12.66,broken clouds
401,Sibolga,ID,1.7427,98.7792,78.06,88,98,2.48,overcast clouds
402,Hovd,MN,48.0056,91.6419,34.47,32,0,2.82,clear sky
403,Liberal,US,37.0431,-100.921,97.84,6,0,31.07,clear sky
404,Svetlogorsk,BY,52.6333,29.7333,39.25,67,13,5.08,few clouds
405,Alamos,MX,27.0167,-108.9333,94.12,16,0,9.86,clear sky
406,Nanortalik,GL,60.1432,-45.2371,35.2,87,27,5.77,scattered clouds
407,Takikawa,JP,43.5528,141.9064,55.62,46,7,9.71,clear sky
408,Boa Viagem,BR,-5.1275,-39.7322,77.79,53,51,2.64,broken clouds
409,Yerbogachen,RU,61.2767,108.0108,30.51,72,70,2.98,broken clouds
410,Belmonte,BR,-15.8631,-38.8828,74.37,82,6,11.74,clear sky
411,Jutai,BR,-5.1833,-68.9,74.71,97,74,2.53,broken clouds
412,Marinha Grande,PT,39.7477,-8.9323,58.89,92,100,8.05,overcast clouds
413,Keningau,MY,5.3378,116.1602,73.56,99,100,1.14,overcast clouds
414,Koyelga,RU,54.6522,60.9049,50.7,43,98,13.0,overcast clouds
415,Vila Velha,BR,-20.3297,-40.2925,73.35,68,0,9.22,clear sky
416,Lake City,US,30.1897,-82.6393,77.63,53,75,5.75,broken clouds
417,Pingliang,CN,35.5392,106.6861,51.58,81,84,4.7,broken clouds
418,Luanda,AO,-8.8368,13.2343,77.0,88,75,6.91,broken clouds
419,Tiarei,PF,-17.5333,-149.3333,86.02,75,12,12.77,few clouds
420,Slave Lake,CA,55.2834,-114.769,31.98,74,100,13.8,overcast clouds
421,Alofi,NU,-19.0595,-169.9187,80.49,69,75,9.22,broken clouds
422,Hamilton,US,39.1834,-84.5333,77.63,45,0,17.27,clear sky
423,Egvekinot,RU,66.3167,-179.1667,23.09,88,77,4.5,broken clouds
424,High Level,CA,58.5169,-117.136,26.71,80,100,12.66,light snow
425,Palauig,PH,15.435,119.9045,83.89,63,3,1.14,clear sky
426,Nemuro,JP,43.3236,145.575,47.44,67,61,22.91,broken clouds
427,Luwuk,ID,-0.9516,122.7875,79.88,81,100,2.86,overcast clouds
428,Kinston,US,35.2627,-77.5816,69.91,40,0,11.5,clear sky
429,Canchungo,GW,12.0672,-16.0333,74.3,77,77,2.46,light rain
430,Pangkalanbuun,ID,-2.6833,111.6167,74.21,96,92,2.13,light rain
431,Necochea,AR,-38.5473,-58.7368,50.76,76,18,9.6,few clouds
432,Lhokseumawe,ID,5.1801,97.1507,78.69,87,100,3.31,overcast clouds
433,Bako,ET,5.7833,36.5667,63.48,85,87,4.14,overcast clouds
434,Caceres,ES,39.522,-6.3748,67.89,42,82,0.56,broken clouds
435,Adrar,MR,20.5022,-10.0711,86.58,9,69,11.59,broken clouds
436,La Ronge,CA,55.1001,-105.2842,59.22,23,40,4.61,scattered clouds
437,Sur,OM,22.5667,59.5289,86.83,47,0,7.0,clear sky
438,Port Hardy,CA,50.6996,-127.4199,51.8,81,75,8.05,light intensity shower rain
439,Paldiski,EE,59.3567,24.0531,45.91,60,0,5.75,clear sky
440,Stuttgart,DE,48.7823,9.177,58.05,86,0,1.14,clear sky
441,Trincomalee,LK,8.5711,81.2335,82.99,78,100,22.86,overcast clouds
442,Guantanamo,CU,20.1444,-75.2092,83.77,70,4,4.05,clear sky
443,Krasnokholmskiy,RU,55.9873,55.0466,52.41,49,100,12.91,overcast clouds
444,Rockport,US,28.0206,-97.0544,89.64,82,0,21.85,clear sky
445,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,60.49,98,100,3.94,overcast clouds
446,Innisfail,AU,-17.5333,146.0333,75.79,92,100,10.31,light rain
447,Sotouboua,TG,8.5667,0.9833,73.71,92,100,3.15,moderate rain
448,Phan Thiet,VN,10.9333,108.1,78.71,84,100,4.56,overcast clouds
449,Chifeng,CN,42.2683,118.9636,51.67,50,14,7.25,few clouds
450,Turukhansk,RU,65.8167,87.9833,32.36,84,99,14.0,overcast clouds
451,Pochutla,MX,15.7432,-96.4661,88.83,59,100,6.15,overcast clouds
452,Chumikan,RU,54.7183,135.315,33.55,83,37,9.37,scattered clouds
453,Taltal,CL,-25.4,-70.4833,64.13,70,10,1.45,clear sky
454,Kuzino,RU,57.0224,59.4412,44.69,58,99,5.97,overcast clouds
455,Fort-Shevchenko,KZ,44.5086,50.263,56.1,80,100,30.94,light rain
456,Kristiansund,NO,63.1115,7.732,50.05,76,100,3.44,overcast clouds
457,Itarema,BR,-2.9248,-39.9167,75.72,94,100,5.91,overcast clouds
458,Asosa,ET,10.0667,34.5333,64.45,78,100,4.5,overcast clouds
459,Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,32.21,few clouds
460,Nadvoitsy,RU,63.8667,34.3167,32.81,85,21,5.66,few clouds
461,Allapalli,IN,19.4167,80.0667,88.23,39,100,2.82,overcast clouds
462,Daura,NG,11.5538,11.4085,84.69,49,100,11.86,overcast clouds
463,Biak,ID,-0.9131,122.8766,78.48,80,100,3.65,overcast clouds
464,Teguise,ES,29.0605,-13.564,70.02,53,0,14.97,clear sky
465,Grindavik,IS,63.8424,-22.4338,46.35,81,20,14.97,few clouds
466,Nosivka,UA,50.9315,31.5828,40.12,63,7,6.35,clear sky
