City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,78.98,few clouds,-9.8,-139.0333,Villa Enata
10,Caravelas,BR,72.25,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
21,Rikitea,PF,76.14,few clouds,-23.1203,-134.9692,People ThankYou
23,Camacha,PT,62.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
26,Jamestown,US,73.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
28,Arona,ES,66.02,clear sky,28.0996,-16.681,Paradise Court
29,Marsaxlokk,MT,61.09,few clouds,35.8419,14.5431,Water's Edge
31,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
39,Banjar,ID,79.12,scattered clouds,-8.19,114.9675,The Hamsa Resort
40,Dingle,PH,79.39,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
41,Touros,BR,77.18,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
50,Salta,AR,64.99,few clouds,-24.7859,-65.4117,Hotel Alejandro I
54,Lumphat,KH,75.15,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
56,Laguna,US,66.02,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
58,Juneau,US,62.6,few clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
60,Guerrero Negro,MX,64.99,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
61,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
64,Ponta Do Sol,PT,74.03,scattered clouds,32.6667,-17.1,Hotel do Campo
70,Tambura,SS,69.58,overcast clouds,5.6,27.4667,Rikito Lodge
71,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
76,Henderson,US,78.84,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
88,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
89,Carnarvon,AU,66.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
91,East London,ZA,62.11,clear sky,-33.0153,27.9116,Tu Casa
92,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
97,Flin Flon,CA,64.24,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
99,Igboho,NG,72.21,heavy intensity rain,8.8333,3.75,More Hotet LTD
101,Naliya,IN,79.72,clear sky,23.2667,68.8333,jadeja jayendrasinh
106,Sakakah,SA,74.77,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
108,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
114,Arraial Do Cabo,BR,73.26,few clouds,-22.9661,-42.0278,Pousada Porto Praia
118,Sabha,LY,75.42,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
119,Quelimane,MZ,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
130,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
131,Isangel,VU,77.11,volcanic ash,-19.55,169.2667,Tanna Lodge
132,Nurota,UZ,64.8,moderate rain,40.5614,65.6886,Guest House Ruslan Nurata & Tours
134,Flinders,AU,60.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
136,Sterling,US,71.58,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
138,Buchanan,LR,79.45,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
139,Omis,HR,66.13,light rain,43.4447,16.6886,Hotel Villa Dvor
146,Wennigsen,DE,60.51,scattered clouds,52.274,9.5729,Hotel Calenberger Hof
147,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
148,Goderich,CA,71.92,scattered clouds,43.7501,-81.7165,Harmony Inn
